"filename", "language", "CSS", "JavaScript", "PHP", "Markdown", "JSON", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\atrodicelabiedru\resources\views\welcome.blade.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\xampp\htdocs\atrodicelabiedru\routes\api.php", "PHP", 0, 0, 6, 0, 0, 0, 10, 4, 20
"c:\xampp\htdocs\atrodicelabiedru\routes\channels.php", "PHP", 0, 0, 5, 0, 0, 0, 10, 4, 19
"c:\xampp\htdocs\atrodicelabiedru\routes\console.php", "PHP", 0, 0, 6, 0, 0, 0, 10, 4, 20
"c:\xampp\htdocs\atrodicelabiedru\routes\web.php", "PHP", 0, 0, 52, 0, 0, 0, 11, 13, 76
"c:\xampp\htdocs\atrodicelabiedru\tests\CreatesApplication.php", "PHP", 0, 0, 12, 0, 0, 0, 5, 6, 23
"c:\xampp\htdocs\atrodicelabiedru\tests\Feature\ExampleTest.php", "PHP", 0, 0, 11, 0, 0, 0, 6, 5, 22
"c:\xampp\htdocs\atrodicelabiedru\tests\TestCase.php", "PHP", 0, 0, 7, 0, 0, 0, 0, 4, 11
"c:\xampp\htdocs\atrodicelabiedru\tests\Unit\ExampleTest.php", "PHP", 0, 0, 10, 0, 0, 0, 5, 4, 19
"c:\xampp\htdocs\atrodicelabiedru\vendor\spatie\ignition\resources\compiled\ignition.css", "CSS", 1, 0, 0, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\atrodicelabiedru\vendor\spatie\ignition\resources\compiled\ignition.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\atrodicelabiedru\vite.config.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 2, 12
"Total", "-", 812, 63, 3191, 45, 7918, 29, 1920, 892, 14870
