"filename", "language", "JavaScript", "PHP", "CSS", "Markdown", "JSON", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\atrodicelabiedru\database\migrations\008_add_columns_for_previewimages_to_posts_table.php", "PHP", 0, 19, 0, 0, 0, 0, 10, 4, 33
"c:\xampp\htdocs\atrodicelabiedru\database\migrations\009_create_answers_table.php", "PHP", 0, 23, 0, 0, 0, 0, 14, 5, 42
"c:\xampp\htdocs\atrodicelabiedru\database\seeders\DatabaseSeeder.php", "PHP", 0, 9, 0, 0, 0, 0, 11, 5, 25
"c:\xampp\htdocs\atrodicelabiedru\database\seeders\PostSeeder.php", "PHP", 0, 12, 0, 0, 0, 0, 5, 4, 21
"c:\xampp\htdocs\atrodicelabiedru\database\seeders\VehicleTableSeeder.php", "PHP", 0, 15, 0, 0, 0, 0, 5, 4, 24
"c:\xampp\htdocs\atrodicelabiedru\lang\en\auth.php", "PHP", 0, 6, 0, 0, 0, 0, 10, 5, 21
"c:\xampp\htdocs\atrodicelabiedru\lang\en\pagination.php", "PHP", 0, 5, 0, 0, 0, 0, 10, 5, 20
"c:\xampp\htdocs\atrodicelabiedru\lang\en\passwords.php", "PHP", 0, 8, 0, 0, 0, 0, 10, 5, 23
"c:\xampp\htdocs\atrodicelabiedru\lang\en\validation.php", "PHP", 0, 140, 0, 0, 0, 0, 30, 9, 179
"c:\xampp\htdocs\atrodicelabiedru\package.json", "JSON", 0, 0, 0, 0, 14, 0, 0, 1, 15
"c:\xampp\htdocs\atrodicelabiedru\phpunit.xml", "XML", 0, 0, 0, 0, 0, 29, 2, 1, 32
"c:\xampp\htdocs\atrodicelabiedru\public\css\postscreate.css", "CSS", 0, 0, 427, 0, 0, 0, 13, 49, 489
"c:\xampp\htdocs\atrodicelabiedru\public\css\registration.css", "CSS", 0, 0, 133, 0, 0, 0, 0, 3, 136
"c:\xampp\htdocs\atrodicelabiedru\public\css\welcome.css", "CSS", 0, 0, 417, 0, 0, 0, 15, 69, 501
"c:\xampp\htdocs\atrodicelabiedru\public\index.php", "PHP", 0, 14, 0, 0, 0, 0, 30, 12, 56
"c:\xampp\htdocs\atrodicelabiedru\resources\css\app.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\atrodicelabiedru\resources\js\app.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 1, 12
"c:\xampp\htdocs\atrodicelabiedru\resources\js\bootstrap.js", "JavaScript", 5, 0, 0, 0, 0, 0, 22, 8, 35
"c:\xampp\htdocs\atrodicelabiedru\resources\js\welcome.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\atrodicelabiedru\resources\views\AboutUs.blade.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 22
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Adminview.blade.php", "PHP", 0, 29, 0, 0, 0, 0, 0, 1, 30
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Places\Index.blade.php", "PHP", 0, 60, 0, 0, 0, 0, 0, 1, 61
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Places\create.blade.php", "PHP", 0, 32, 0, 0, 0, 0, 0, 1, 33
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Places\edit.blade.php", "PHP", 0, 34, 0, 0, 0, 0, 0, 1, 35
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Places\show.blade.php", "PHP", 0, 36, 0, 0, 0, 0, 0, 1, 37
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Posts\Index.blade.php", "PHP", 0, 74, 0, 0, 0, 0, 0, 3, 77
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Posts\create.blade.php", "PHP", 0, 95, 0, 0, 0, 0, 0, 1, 96
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Posts\edit.blade.php", "PHP", 0, 81, 0, 0, 0, 0, 0, 1, 82
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Posts\show.blade.php", "PHP", 0, 66, 0, 0, 0, 0, 0, 1, 67
"c:\xampp\htdocs\atrodicelabiedru\resources\views\SafeTrip.blade.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 22
"c:\xampp\htdocs\atrodicelabiedru\resources\views\User\Index.blade.php", "PHP", 0, 42, 0, 0, 0, 0, 0, 1, 43
"c:\xampp\htdocs\atrodicelabiedru\resources\views\User\edit.blade.php", "PHP", 0, 60, 0, 0, 0, 0, 0, 1, 61
"c:\xampp\htdocs\atrodicelabiedru\resources\views\User\show.blade.php", "PHP", 0, 44, 0, 0, 0, 0, 0, 1, 45
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Vehicle\Vehicle.blade.php", "PHP", 0, 57, 0, 0, 0, 0, 0, 1, 58
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Vehicle\create.blade.php", "PHP", 0, 30, 0, 0, 0, 0, 0, 1, 31
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Vehicle\edit.blade.php", "PHP", 0, 33, 0, 0, 0, 0, 0, 1, 34
"c:\xampp\htdocs\atrodicelabiedru\resources\views\Vehicle\show.blade.php", "PHP", 0, 35, 0, 0, 0, 0, 0, 1, 36
"c:\xampp\htdocs\atrodicelabiedru\resources\views\auth\login.blade.php", "PHP", 0, 54, 0, 0, 0, 0, 0, 4, 58
"c:\xampp\htdocs\atrodicelabiedru\resources\views\auth\registration.blade.php", "PHP", 0, 88, 0, 0, 0, 0, 0, 4, 92
"c:\xampp\htdocs\atrodicelabiedru\resources\views\navbar\app.blade.php", "PHP", 0, 65, 0, 0, 0, 0, 0, 3, 68
"c:\xampp\htdocs\atrodicelabiedru\resources\views\traveling\gallery.blade.php", "PHP", 0, 50, 0, 0, 0, 0, 0, 1, 51
"c:\xampp\htdocs\atrodicelabiedru\resources\views\welcome.blade.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 1, 23
"c:\xampp\htdocs\atrodicelabiedru\routes\api.php", "PHP", 0, 6, 0, 0, 0, 0, 10, 4, 20
"c:\xampp\htdocs\atrodicelabiedru\routes\channels.php", "PHP", 0, 5, 0, 0, 0, 0, 10, 4, 19
"c:\xampp\htdocs\atrodicelabiedru\routes\console.php", "PHP", 0, 6, 0, 0, 0, 0, 10, 4, 20
"c:\xampp\htdocs\atrodicelabiedru\routes\web.php", "PHP", 0, 65, 0, 0, 0, 0, 11, 12, 88
"c:\xampp\htdocs\atrodicelabiedru\tests\CreatesApplication.php", "PHP", 0, 12, 0, 0, 0, 0, 5, 6, 23
"c:\xampp\htdocs\atrodicelabiedru\tests\Feature\ExampleTest.php", "PHP", 0, 11, 0, 0, 0, 0, 6, 5, 22
"c:\xampp\htdocs\atrodicelabiedru\tests\TestCase.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 4, 11
"c:\xampp\htdocs\atrodicelabiedru\tests\Unit\ExampleTest.php", "PHP", 0, 10, 0, 0, 0, 0, 5, 4, 19
"c:\xampp\htdocs\atrodicelabiedru\vendor\spatie\ignition\resources\compiled\ignition.css", "CSS", 0, 0, 1, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\atrodicelabiedru\vendor\spatie\ignition\resources\compiled\ignition.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\atrodicelabiedru\vite.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 2, 12
"Total", "-", 32, 3425, 978, 45, 7918, 29, 1911, 878, 15216
